Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
B2M	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CCDC140	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PDCD11	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
"C7orf55,C7orf55-LUC7L2"	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
OTUD7A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
RAD51D	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
KIAA0907	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
PIK3CG	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TSC1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
MCU	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
VEZF1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
SP8	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
DHX9	1	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.
STK11	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
XPC	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ZNF681	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
NUP93	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
SMARCD2	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
CSF3R	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GATA6	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CYP3A4	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HIST1H4L	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
ZNF676	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
JAK2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
COL7A1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ZNF670	1	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CCND2	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ATXN1	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PTEN	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
POU2F2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.
TCF12	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ITGA9	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
CDKN1C	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CDKN1A	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ITGA6	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
PRG4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
SETBP1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
UROD	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
SIGLEC8	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
CHIC1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
CSDE1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TNFRSF13C	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
ZIC5	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
H3F3B	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
FBXL17	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GRM1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 
XBP1	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
BLM	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ZNF708	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
VEGFC	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
VEGFB	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ANAPC1	1	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ARHGAP35	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
HPDL	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.
ING1	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
RAD21	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
CCNE1	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
HCAR1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
TOP1	1	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.
ETV1	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
PRDM6	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
PRDM1	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
VTI1A	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
EIF4A2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
DNMT1	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
POLQ	1	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.
NBPF4	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TOX	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NBPF1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: unknown: 1; 	.	.	.	.
SLC4A5	1	.	2:: nonsense: 1; frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZNF830	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
MAP4K2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
TAF15	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FH	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.
4-Sep	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
POLH	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
TLL2	1	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.
ASPM	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.
RBM10	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
"SSX4,SSX4B"	1	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
RBM15	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ERC1	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
BSCL2	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HMGB1	1	.	.	.	.	.	.	.	.	.	.	2:: frameshift indel: 2; 	.	.	.	.	.	.	.	.	.
SCN11A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
FBXO31	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
GATA4	1	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CYP2C9	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
RBMXL1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
GPR150	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
COL18A1	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
RAB11FIP5	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
IL21R	1	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NTN4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
INSR	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
CUL1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
METTL23	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CXXC1	1	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PBRM1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
ARAF	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
POTED	1	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.
RBM5	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
MAP4	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SCAF1	1	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SP9	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
ERC2	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MAP2K4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
HNF1A	1	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.
CFAP126	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
DHFRL1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.
CTNNB1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.
PLCG2	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
ZNF44	1	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
B3GALT2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
CBLB	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
MAB21L1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.
MAB21L2	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
ALDH1A1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
WRN	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MTTP	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
POTEG	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
COBLL1	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PSMC5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
STAT5B	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
ITGB2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ITGB5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
EPS15	1	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
STAT6	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
ALKBH6	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
ATN1	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SUFU	1	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.
ST6GALNAC5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
TCL1A	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CLK3	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
E2F2	1	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
"MEF2B,MEF2BNB-MEF2B"	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
WASF3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ANK1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PNMT	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.
MBD2	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GDF1	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FUCA2	1	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.
RPN1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
MIEN1	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
SULF2	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.
IKBKB	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
CYP4F2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
CYP4F3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
UBXN11	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
HNF1B	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
TUBA3E	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
EPX	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
FAH	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
FGR	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
FGFR1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
CDH5	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MYT1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
WT1	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CDKN2A	1	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NCKIPSD	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
OR52N5	1	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
C3orf70	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
CNOT3	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
PCDH20	1	.	.	.	.	.	.	.	2:: missense: 1; frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
ODAM	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
RHBDL1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
HSD3B1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
HSD3B2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
MTRR	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
WNT7A	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
E2F1	1	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PAK3	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NUP88	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
FOXP4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
FUBP1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZNF697	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CCAR1	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
MNX1	1	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ITGB7	1	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NEK1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZFR2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
MKL1	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
SPOP	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.
ITPKB	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
CAMTA1	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TAB3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
IGF2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
TCF7	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
DDX3X	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
RNPS1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
BUB3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
GCK	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
C9orf43	1	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
IGFBP2	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SET	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
TNFRSF11A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.
GNA12	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ZBTB16	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
DNAH2	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
IRF4	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
IRF8	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
PCDH12	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MAOB	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.
MEF2A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
SNX29	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SLX4	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
ZNF503	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SNX25	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
CD70	1	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HDAC4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
HDAC7	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.
CSF1R	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.
TCERG1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
FOXF1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
FANCD2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
BRIP1	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CBX3	1	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PHOX2B	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
FASTKD3	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
MAPK3	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
9-Sep	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MKRN1	1	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
OLIG1	1	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FANCC	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
ZNF433	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
HNRNPAB	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
ZNF431	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
CLASRP	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
CFHR4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
GKN1	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AMBRA1	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
CELSR3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.
PML	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
FOXL1	1	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.
TAOK2	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
COL17A1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
ITK	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ITGA10	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SOWAHA	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.
RPL10A	1	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.
